No.,FREQ,NAME(全角28文字/半角14文字以内),MODE,BANK,SKIP,STEP,OFFSET,SHIFT_FREQ,ATT,SQ_TYPE,CTCSS,DCS,REV_EC,REV_FREQ,UC,GC,EC,WC,T61_LON,T61_LAT,DMR_SLOT,DMR_CC,DMR_GC,DSTAR_CS,C4FM_DG,LON,LAT
061,467.250000,ﾃﾞｼﾞﾀﾙ簡易無線3B_41ch,T98,B,OFF,6k25,OFF,0.000000,OFF,OFF,670,017,OFF,2500,OFF,ALL,OFF,228,123,23,AUTO,OFF,ALL,OFF,OFF,0.000000,0.000000
062,467.256250,ﾃﾞｼﾞﾀﾙ簡易無線3B_42ch,T98,B,OFF,6k25,OFF,0.000000,OFF,OFF,670,017,OFF,2500,OFF,ALL,OFF,228,123,23,AUTO,OFF,ALL,OFF,OFF,0.000000,0.000000
063,467.262500,ﾃﾞｼﾞﾀﾙ簡易無線3B_43ch,T98,B,OFF,6k25,OFF,0.000000,OFF,OFF,670,017,OFF,2500,OFF,ALL,OFF,228,123,23,AUTO,OFF,ALL,OFF,OFF,0.000000,0.000000
064,467.268750,ﾃﾞｼﾞﾀﾙ簡易無線3B_44ch,T98,B,OFF,6k25,OFF,0.000000,OFF,OFF,670,017,OFF,2500,OFF,ALL,OFF,228,123,23,AUTO,OFF,ALL,OFF,OFF,0.000000,0.000000
065,467.275000,ﾃﾞｼﾞﾀﾙ簡易無線3B_45ch,T98,B,OFF,6k25,OFF,0.000000,OFF,OFF,670,017,OFF,2500,OFF,ALL,OFF,228,123,23,AUTO,OFF,ALL,OFF,OFF,0.000000,0.000000
066,467.281250,ﾃﾞｼﾞﾀﾙ簡易無線3B_46ch,T98,B,OFF,6k25,OFF,0.000000,OFF,OFF,670,017,OFF,2500,OFF,ALL,OFF,228,123,23,AUTO,OFF,ALL,OFF,OFF,0.000000,0.000000
067,467.287500,ﾃﾞｼﾞﾀﾙ簡易無線3B_47ch,T98,B,OFF,6k25,OFF,0.000000,OFF,OFF,670,017,OFF,2500,OFF,ALL,OFF,228,123,23,AUTO,OFF,ALL,OFF,OFF,0.000000,0.000000
068,467.293750,ﾃﾞｼﾞﾀﾙ簡易無線3B_48ch,T98,B,OFF,6k25,OFF,0.000000,OFF,OFF,670,017,OFF,2500,OFF,ALL,OFF,228,123,23,AUTO,OFF,ALL,OFF,OFF,0.000000,0.000000
069,467.300000,ﾃﾞｼﾞﾀﾙ簡易無線3B_49ch,T98,B,OFF,6k25,OFF,0.000000,OFF,OFF,670,017,OFF,2500,OFF,ALL,OFF,228,123,23,AUTO,OFF,ALL,OFF,OFF,0.000000,0.000000
070,467.306250,ﾃﾞｼﾞﾀﾙ簡易無線3B_50ch,T98,B,OFF,6k25,OFF,0.000000,OFF,OFF,670,017,OFF,2500,OFF,ALL,OFF,228,123,23,AUTO,OFF,ALL,OFF,OFF,0.000000,0.000000
071,467.312500,ﾃﾞｼﾞﾀﾙ簡易無線3B_51ch,T98,B,OFF,6k25,OFF,0.000000,OFF,OFF,670,017,OFF,2500,OFF,ALL,OFF,228,123,23,AUTO,OFF,ALL,OFF,OFF,0.000000,0.000000
072,467.318750,ﾃﾞｼﾞﾀﾙ簡易無線3B_52ch,T98,B,OFF,6k25,OFF,0.000000,OFF,OFF,670,017,OFF,2500,OFF,ALL,OFF,228,123,23,AUTO,OFF,ALL,OFF,OFF,0.000000,0.000000
073,467.325000,ﾃﾞｼﾞﾀﾙ簡易無線3B_53ch,T98,B,OFF,6k25,OFF,0.000000,OFF,OFF,670,017,OFF,2500,OFF,ALL,OFF,228,123,23,AUTO,OFF,ALL,OFF,OFF,0.000000,0.000000
074,467.331250,ﾃﾞｼﾞﾀﾙ簡易無線3B_54ch,T98,B,OFF,6k25,OFF,0.000000,OFF,OFF,670,017,OFF,2500,OFF,ALL,OFF,228,123,23,AUTO,OFF,ALL,OFF,OFF,0.000000,0.000000
